date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:33	32030/32030	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:30%20GMT	https://www.energy.gov/technologytransitions/downloads/fy-2017-president-s-budget-request-office-technology-transitions	/Users/zo/websites/doe/www.energy.gov/technologytransitions/downloads/fy-2017-president-s-budget-request-office-technology-transitions.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:38	32139/32139	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:34%20GMT	https://www.energy.gov/technologytransitions/downloads/department-energy-issues-report-technology-transfer-and-related	/Users/zo/websites/doe/www.energy.gov/technologytransitions/downloads/department-energy-issues-report-technology-transfer-and-related.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:43	27749/27749	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:38%20GMT	https://www.energy.gov/technologytransitions/events/arpa-e-energy-innovation-summit	/Users/zo/websites/doe/www.energy.gov/technologytransitions/events/arpa-e-energy-innovation-summit.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:48	26891/26891	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:43%20GMT	https://www.energy.gov/technologytransitions/calendars/events	/Users/zo/websites/doe/www.energy.gov/technologytransitions/calendars/events.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:27:57	46769/46769	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:49%20GMT	https://www.energy.gov/technologytransitions/articles/us-doe-s-clean-energy-investment-center-year-review	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/us-doe-s-clean-energy-investment-center-year-review.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:06	38164/38164	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:27:58%20GMT	https://www.energy.gov/technologytransitions/articles/tech-markets-innovative-pathways-funding-opportunity	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/tech-markets-innovative-pathways-funding-opportunity.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:09	44348/44348	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:06%20GMT	https://www.energy.gov/technologytransitions/articles/helping-national-lab-innovators-create-21st-century-solutions	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/helping-national-lab-innovators-create-21st-century-solutions.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:14	43399/43399	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:09%20GMT	https://www.energy.gov/technologytransitions/articles/lab-and-beyond-celebrating-impact-our-national-labs	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/lab-and-beyond-celebrating-impact-our-national-labs.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:19	29414/29414	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:16%20GMT	https://www.energy.gov/technologytransitions/contact-technology-transitions	/Users/zo/websites/doe/www.energy.gov/technologytransitions/contact-technology-transitions.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:19	153/153	---M--	302	error ('Redirect')	text/html	date:Mon,%2023%20Jan%202017%2015:28:18%20GMT	https://www.osc.gov/Pages/DOW.aspx	/Users/zo/websites/doe/www.osc.gov/Pages/DOW.27.delayed	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
